score,word
0.05811140677540509,nous avons
0.04520863305804243,?? ??????
0.033908506833946334,? ??
0.03217492208387503,kew gardens
0.028733841061958112,automated posting
0.028172865444453053,notting hill
0.027203966981922678,walking distance
0.02402051830300818,wir haben
0.022604316529021215,? ?
0.022263630103496006,canary wharf
0.02088643914936502,url hidden
0.016911091655879996,lui demander
0.015008764838449143,sensitive contents
0.013868440166494939,tower bridge
0.01355142397272145,brick lane
0.013059372485426593,oyster cards
0.01237440101084485,molto gentile
0.012054416251814559,washing machine
0.012029771839613443,die wohnung
0.012027546837193533,tr¨¨s bien
0.011302158264510608,? ?????
0.011302158264510608,? ????
0.011302158264510608,bof bof
0.010385498085180307,haben uns
0.010323899687233865,stata molto
0.010086386168450314,mio arrivo
0.010086386167514174,?? ?????
0.010086386167514174,obra maestra
0.010086386167514174,trinity church
0.01006874291043142,das zimmer
