score,word
0.06126926146283826,nous avons
0.037585371996428106,automated posting
0.03253598700739701,walking distance
0.027211313265517328,die wohnung
0.022966566775870497,notting hill
0.017717374954229467,washing machine
0.01697158310071794,brick lane
0.015386600371322862,n?o havendo
0.013825503098832095,british museum
0.01360390743591291,janis xxx
0.012836416982247805,molto gentile
0.01222114336889999,moldy smell
0.012194479229027472,grocery stores
0.01187750147486539,wir haben
0.01117817674363949,sensitive contents
0.011053219100700328,haben uns
0.010775646653992211,wohl gef¨¹hlt
0.01055948736546224,dos personas
0.010174088818701752,est¨¢ muy
0.010151117677937556,canary wharf
0.010136114678052336,crystal palace
0.010136112382031645,uma ¨®tima
0.009557119482855682,muy amable
0.009387566480505812,taken care
0.009134871170064042,tower bridge
0.008761630968886859,brand new
0.008687450901583588,public transport
0.00849722916258158,kew gardens
0.00824356346421579,leicester square
0.008046045482914519,vicino alla
