score,word
0.035967780426880334,automated posting
0.031377935928997354,walking distance
0.02553348447813843,washing machine
0.024224582988341688,surry hills
0.0214670003152156,public transport
0.020018136812254405,circular quay
0.01365309474129557,tr¨¨s agr¨¦able
0.013334452460737162,wir wieder
0.012476802419818186,kings cross
0.010989698200195777,perk backpackers
0.009292886928414429,opal card
0.00926590238943851,nous avons
0.008580673945796398,darling harbour
0.00811594208650361,hair dryer
0.0072517369607086,url hidden
0.006792915922827714,dee why
0.006781511911374499,days before
0.006704412842734377,scented candle
0.0067023467114762205,giant beanbag
0.0067023467114762205,wooden floors
0.006697739778104564,surrey hills
0.006475586793601825,hesitation recommending
0.006240976940676326,taronga zoo
0.00617975448685654,bien situ¨¦
0.0061593635612490994,surrounding areas
0.005894483527701377,tourist spots
0.0058942681431999565,hidden gems
0.005830768126913838,eastern suburbs
0.005828458615140347,h?te tr¨¨s
0.005827692910332062,¨¤ proximit¨¦
