score,word
0.025029477553606818,automated posting
0.01707560928502676,grocery store
0.014456534102464,public transportation
0.0072199896792068795,within walking
0.007029137447956342,distillery district
0.004394869716883912,grocery stores
0.004052480786973958,fresh fruit
0.004034996788954524,went above
0.003936281478857486,lawrence market
0.0034165158846517865,trinity bellwoods
0.0034152550569263892,exposed brick
0.003415255056430778,bmo field
0.0034152550564306187,valley parkway
0.003202654365875037,heating system
0.0031229130813325255,hockey hall
0.002956980799128662,major attractions
0.0028737323744831536,paths crossed
0.002825849670305049,rented robert
0.0027330171615845542,power outage
0.0027315335985429903,pearson airport
0.0026703275422294824,common areas
0.0026064650579368923,length mirror
0.0025525262694246643,without hesitation
0.0023826141372540154,baby crying
0.0022585604204015384,nothing negative
0.0021914944796370896,brick walls
0.0020198529031458475,detailed instructions
0.0019404501377243636,trouble finding
0.0019397812096991329,rooftop patio
0.0019390687455218198,gardiner expressway
